state	year	m	f
VT	1931	Robert	Mary
WA	1931	Robert	Mary
WI	1931	Robert	Mary
WV	1931	James	Betty
WY	1931	Robert	Mary
AK	1932	John	Mary
AL	1932	James	Mary
AR	1932	James	Mary
AZ	1932	Robert	Mary
CA	1932	Robert	Barbara
CO	1932	Robert	Mary
CT	1932	Robert	Mary
DE	1932	William	Mary
FL	1932	James	Mary
GA	1932	James	Mary
HI	1932	George	Mary
IA	1932	Robert	Mary
ID	1932	Robert	Mary
IL	1932	Robert	Mary
IN	1932	Robert	Mary
KS	1932	Robert	Mary
KY	1932	James	Mary
LA	1932	James	Mary
MA	1932	Robert	Mary
MD	1932	William	Mary
ME	1932	Robert	Barbara
MI	1932	Robert	Mary
MN	1932	Robert	Mary
MO	1932	Robert	Mary
MS	1932	James	Mary
MT	1932	Robert	Mary
NC	1932	James	Mary
ND	1932	Robert	Mary
NE	1932	Robert	Mary
NH	1932	Robert	Barbara
NJ	1932	Robert	Joan
NM	1932	Joe	Mary
NV	1932	Robert	Mary
NY	1932	John	Joan
OH	1932	Robert	Mary
OK	1932	James	Betty
OR	1932	Robert	Barbara
PA	1932	John	Mary
RI	1932	Robert	Barbara
SC	1932	James	Mary
SD	1932	Robert	Mary
TN	1932	James	Mary
TX	1932	James	Mary
UT	1932	Robert	Mary
VA	1932	James	Mary
VT	1932	Robert	Mary
WA	1932	Robert	Barbara
WI	1932	Robert	Mary
WV	1932	James	Mary
WY	1932	Robert	Mary
AK	1933	John	Mary
AL	1933	James	Mary
AR	1933	James	Mary
AZ	1933	Robert	Mary
CA	1933	Robert	Barbara
CO	1933	Robert	Mary
CT	1933	Robert	Barbara
DE	1933	William	Mary
FL	1933	James	Mary
GA	1933	James	Mary
HI	1933	George	Mary
IA	1933	Robert	Mary
ID	1933	Robert	Mary
IL	1933	Robert	Mary
IN	1933	Robert	Mary
KS	1933	Robert	Mary
KY	1933	James	Mary
LA	1933	James	Mary
MA	1933	Robert	Mary
MD	1933	William	Mary
ME	1933	Robert	Mary
MI	1933	Robert	Mary
MN	1933	Robert	Mary
MO	1933	Robert	Mary
MS	1933	James	Mary
MT	1933	Robert	Mary
NC	1933	James	Mary
ND	1933	Robert	Mary
NE	1933	Robert	Mary
NH	1933	Robert	Barbara
NJ	1933	John	Joan
NM	1933	Joe	Mary
NV	1933	John	Barbara
NY	1933	John	Mary
OH	1933	Robert	Mary
OK	1933	James	Mary
OR	1933	Robert	Barbara
PA	1933	John	Mary
RI	1933	Robert	Barbara
SC	1933	James	Mary
SD	1933	Robert	Mary
TN	1933	James	Mary
TX	1933	James	Mary
UT	1933	Robert	Mary
VA	1933	James	Mary
VT	1933	Robert	Mary
WA	1933	Robert	Mary
WI	1933	Robert	Mary
WV	1933	James	Mary
WY	1933	Robert	Mary
AK	1934	John	Mary
AL	1934	James	Mary
AR	1934	James	Mary
AZ	1934	Robert	Mary
CA	1934	Robert	Mary
CO	1934	Robert	Mary
CT	1934	Robert	Mary
DE	1934	John	Mary
FL	1934	James	Mary
GA	1934	James	Mary
HI	1934	Richard	Helen
IA	1934	Robert	Mary
ID	1934	Robert	Shirley
IL	1934	Robert	Mary
IN	1934	Robert	Mary
KS	1934	Robert	Mary
KY	1934	James	Mary
LA	1934	James	Mary
MA	1934	Robert	Mary
MD	1934	William	Mary
ME	1934	Robert	Mary
MI	1934	Robert	Mary
MN	1934	Robert	Mary
MO	1934	Robert	Mary
MS	1934	James	Mary
MT	1934	Robert	Mary
NC	1934	James	Mary
ND	1934	Robert	Mary
NE	1934	Robert	Mary
NH	1934	Robert	Barbara
NJ	1934	Robert	Joan
NM	1934	Joe	Mary
NV	1934	Robert	Mary
NY	1934	Robert	Mary
OH	1934	Robert	Mary
OK	1934	James	Mary
OR	1934	Robert	Shirley
PA	1934	John	Mary
RI	1934	Robert	Joan
SC	1934	James	Mary
SD	1934	Robert	Mary
TN	1934	James	Mary
TX	1934	James	Mary
UT	1934	Robert	Mary
VA	1934	James	Mary
VT	1934	Robert	Mary
WA	1934	Robert	Barbara
WI	1934	Robert	Mary
WV	1934	James	Mary
WY	1934	Robert	Mary
AK	1935	John	Mary
AL	1935	James	Mary
AR	1935	James	Mary
AZ	1935	Robert	Mary
CA	1935	Robert	Barbara
CO	1935	Robert	Mary
CT	1935	Robert	Barbara
DE	1935	William	Mary
FL	1935	James	Mary
GA	1935	James	Mary
HI	1935	Richard	Shirley
IA	1935	Robert	Shirley
ID	1935	Robert	Shirley
IL	1935	Robert	Mary
IN	1935	Robert	Shirley
KS	1935	Robert	Shirley
KY	1935	James	Mary
LA	1935	James	Mary
MA	1935	Robert	Mary
MD	1935	Robert	Mary
ME	1935	Robert	Shirley
MI	1935	Robert	Shirley
MN	1935	Robert	Mary
MO	1935	Robert	Shirley
MS	1935	James	Mary
MT	1935	Robert	Shirley
NC	1935	James	Mary
ND	1935	Robert	Shirley
NE	1935	Robert	Shirley
NH	1935	Robert	Shirley
NJ	1935	Robert	Joan
NM	1935	Joe	Mary
NV	1935	Robert	Mary
NY	1935	Robert	Mary
OH	1935	Robert	Mary
OK	1935	James	Shirley
OR	1935	Robert	Shirley
PA	1935	Robert	Mary
RI	1935	Robert	Barbara
SC	1935	James	Mary
SD	1935	Robert	Shirley
TN	1935	James	Mary
TX	1935	James	Mary
UT	1935	Robert	Mary
VA	1935	James	Mary
VT	1935	Robert	Shirley
WA	1935	Robert	Shirley
WI	1935	Robert	Mary
WV	1935	James	Mary
WY	1935	John	Shirley
AK	1936	Robert	Mary
AL	1936	James	Mary
AR	1936	James	Mary
AZ	1936	Robert	Mary
CA	1936	Robert	Mary
CO	1936	Robert	Mary
CT	1936	Robert	Barbara
DE	1936	Robert	Mary
FL	1936	James	Mary
GA	1936	James	Mary
HI	1936	Richard	Shirley
IA	1936	Robert	Mary
ID	1936	Robert	Shirley
IL	1936	Robert	Mary
IN	1936	Robert	Mary
KS	1936	Robert	Mary
KY	1936	James	Mary
LA	1936	James	Mary
MA	1936	Robert	Mary
MD	1936	John	Mary
ME	1936	Robert	Mary
MI	1936	Robert	Mary
MN	1936	Robert	Mary
MO	1936	Robert	Mary
MS	1936	James	Mary
MT	1936	Robert	Shirley
NC	1936	James	Mary
ND	1936	Robert	Shirley
NE	1936	Robert	Mary
NH	1936	Robert	Shirley
NJ	1936	Robert	Joan
NM	1936	Joe	Mary
NV	1936	Robert	Mary
NY	1936	Robert	Mary
OH	1936	Robert	Mary
OK	1936	James	Mary
OR	1936	Robert	Mary
PA	1936	Robert	Mary
RI	1936	Robert	Barbara
SC	1936	James	Mary
SD	1936	Robert	Shirley
TN	1936	James	Mary
TX	1936	James	Mary
UT	1936	Robert	Mary
VA	1936	James	Shirley
VT	1936	Robert	Shirley
WA	1936	Robert	Mary
WI	1936	Robert	Mary
WV	1936	James	Mary
WY	1936	Robert	Mary
AK	1937	Robert	Mary
AL	1937	James	Mary
AR	1937	James	Mary
AZ	1937	Robert	Mary
CA	1937	Robert	Mary
CO	1937	Robert	Mary
CT	1937	Robert	Barbara
DE	1937	William	Mary
FL	1937	James	Mary
GA	1937	James	Mary
HI	1937	Robert	Barbara
IA	1937	Robert	Mary
ID	1937	Robert	Mary
IL	1937	Robert	Mary
IN	1937	Robert	Mary
KS	1937	Robert	Mary
KY	1937	James	Mary
LA	1937	James	Mary
MA	1937	Robert	Mary
MD	1937	Robert	Mary
ME	1937	Robert	Mary
MI	1937	Robert	Mary
MN	1937	Robert	Mary
MO	1937	James	Mary
MS	1937	James	Mary
MT	1937	Robert	Mary
NC	1937	James	Mary
ND	1937	Robert	Shirley
NE	1937	Robert	Mary
NH	1937	Robert	Barbara
NJ	1937	Robert	Barbara
NM	1937	Joe	Mary
NV	1937	Robert	Mary
NY	1937	Robert	Mary
OH	1937	Robert	Mary
OK	1937	James	Mary
OR	1937	Robert	Mary
PA	1937	Robert	Mary
RI	1937	Robert	Barbara
SC	1937	James	Mary
SD	1937	Robert	Mary
TN	1937	James	Mary
TX	1937	James	Mary
UT	1937	Robert	Carol
VA	1937	James	Mary
VT	1937	Robert	Mary
WA	1937	Robert	Barbara
WI	1937	Robert	Mary
WV	1937	James	Mary
WY	1937	Robert	Mary
AK	1938	Robert	Mary
AL	1938	James	Mary
AR	1938	James	Mary
AZ	1938	Robert	Mary
CA	1938	Robert	Mary
CO	1938	Robert	Mary
CT	1938	Robert	Barbara
DE	1938	William	Barbara
FL	1938	James	Mary
GA	1938	James	Mary
HI	1938	Robert	Barbara
IA	1938	Robert	Mary
ID	1938	Robert	Mary
IL	1938	Robert	Mary
IN	1938	Robert	Mary
KS	1938	Robert	Mary
KY	1938	James	Mary
LA	1938	James	Mary
MA	1938	Robert	Mary
MD	1938	Robert	Mary
ME	1938	Robert	Patricia
MI	1938	Robert	Mary
MN	1938	Robert	Mary
MO	1938	James	Mary
MS	1938	James	Mary
MT	1938	Robert	Mary
NC	1938	James	Mary
ND	1938	Robert	Mary
NE	1938	Robert	Mary
NH	1938	Robert	Patricia
NJ	1938	Robert	Barbara
NM	1938	Joe	Mary
NV	1938	John	Barbara
NY	1938	Robert	Barbara
OH	1938	Robert	Mary
OK	1938	James	Mary
OR	1938	Robert	Mary
PA	1938	Robert	Mary
RI	1938	Robert	Barbara
SC	1938	James	Mary
SD	1938	Robert	Mary
TN	1938	James	Mary
TX	1938	James	Mary
UT	1938	Robert	Carol
VA	1938	James	Mary
VT	1938	Robert	Mary
WA	1938	Robert	Mary
WI	1938	Robert	Mary
WV	1938	James	Mary
WY	1938	Robert	Mary
AK	1939	John	Mary
AL	1939	James	Mary
AR	1939	James	Mary
AZ	1939	Robert	Mary
CA	1939	Robert	Mary
CO	1939	Robert	Mary
CT	1939	Robert	Barbara
DE	1939	John	Mary
FL	1939	James	Mary
GA	1939	James	Mary
HI	1939	Robert	Barbara
IA	1939	Robert	Mary
ID	1939	Robert	Sharon
IL	1939	Robert	Mary
IN	1939	James	Mary
KS	1939	Larry	Mary
KY	1939	James	Mary
LA	1939	James	Mary
MA	1939	Robert	Mary
MD	1939	Robert	Mary
ME	1939	Richard	Patricia
MI	1939	Robert	Mary
MN	1939	Robert	Mary
MO	1939	James	Mary
MS	1939	James	Mary
MT	1939	Robert	Sharon
NC	1939	James	Mary
ND	1939	James	Mary
NE	1939	Robert	Mary
NH	1939	Robert	Nancy
NJ	1939	Robert	Barbara
NM	1939	Joe	Mary
NV	1939	John	Mary
NY	1939	Robert	Barbara
OH	1939	Robert	Mary
OK	1939	James	Mary
OR	1939	Robert	Barbara
PA	1939	Robert	Mary
RI	1939	Robert	Barbara
SC	1939	James	Mary
SD	1939	Robert	Mary
TN	1939	James	Mary
TX	1939	James	Mary
UT	1939	Robert	Mary
VA	1939	James	Mary
VT	1939	Robert	Mary
WA	1939	Robert	Barbara
WI	1939	Robert	Mary
WV	1939	James	Mary
WY	1939	John	Mary
AK	1940	John	Mary
AL	1940	James	Mary
AR	1940	James	Mary
AZ	1940	Robert	Mary
CA	1940	Robert	Mary
CO	1940	Robert	Mary
CT	1940	Robert	Patricia
DE	1940	William	Mary
FL	1940	James	Mary
GA	1940	James	Mary
HI	1940	Robert	Barbara
IA	1940	Robert	Mary
ID	1940	Robert	Sharon
IL	1940	Robert	Mary
IN	1940	James	Mary
KS	1940	Larry	Mary
KY	1940	James	Mary
LA	1940	James	Mary
MA	1940	Robert	Mary
MD	1940	William	Mary
ME	1940	Robert	Patricia
MI	1940	Robert	Mary
MN	1940	Robert	Mary
MO	1940	James	Mary
MS	1940	James	Mary
MT	1940	Robert	Sharon
NC	1940	James	Mary
ND	1940	Robert	Mary
NE	1940	Robert	Mary
NH	1940	Robert	Patricia
NJ	1940	Robert	Barbara
NM	1940	Joe	Mary
NV	1940	Robert	Patricia
NY	1940	Robert	Barbara
OH	1940	Robert	Mary
OK	1940	James	Mary
OR	1940	Robert	Patricia
PA	1940	Robert	Mary
RI	1940	Robert	Barbara
SC	1940	James	Mary
SD	1940	Robert	Mary
TN	1940	James	Mary
TX	1940	James	Mary
UT	1940	Richard	Linda
VA	1940	James	Mary
VT	1940	Richard	Mary
WA	1940	Robert	Sharon
WI	1940	Robert	Mary
WV	1940	James	Mary
WY	1940	Robert	Mary
AK	1941	Robert	Mary
AL	1941	James	Mary
AR	1941	James	Mary
AZ	1941	Robert	Mary
CA	1941	Robert	Mary
CO	1941	Robert	Mary
CT	1941	Robert	Patricia
DE	1941	John	Mary
FL	1941	James	Mary
GA	1941	James	Mary
HI	1941	Robert	Patricia
IA	1941	Robert	Mary
ID	1941	Robert	Sharon
IL	1941	Robert	Mary
IN	1941	James	Mary
KS	1941	Larry	Mary
KY	1941	James	Mary
LA	1941	James	Mary
MA	1941	Robert	Mary
MD	1941	John	Mary
ME	1941	Robert	Judith
MI	1941	Robert	Mary
MN	1941	James	Mary
MO	1941	James	Mary
MS	1941	James	Mary
MT	1941	Robert	Sharon
NC	1941	James	Mary
ND	1941	Robert	Mary
NE	1941	Robert	Mary
NH	1941	Robert	Patricia
NJ	1941	Robert	Barbara
NM	1941	Robert	Mary
NV	1941	Robert	Linda
NY	1941	Robert	Barbara
OH	1941	James	Mary
OK	1941	James	Mary
OR	1941	Robert	Sharon
PA	1941	John	Mary
RI	1941	Robert	Patricia
SC	1941	James	Mary
SD	1941	James	Mary
TN	1941	James	Mary
TX	1941	James	Mary
UT	1941	Robert	Linda
VA	1941	James	Mary
VT	1941	Robert	Patricia
WA	1941	James	Sharon
WI	1941	Robert	Mary
WV	1941	James	Mary
WY	1941	Robert	Mary
AK	1942	John	Mary
AL	1942	James	Mary
AR	1942	James	Mary
AZ	1942	Robert	Mary
CA	1942	Robert	Linda
CO	1942	Robert	Mary
CT	1942	Robert	Patricia
DE	1942	John	Mary
FL	1942	James	Mary
GA	1942	James	Mary
HI	1942	Robert	Patricia
IA	1942	Robert	Mary
ID	1942	James	Sharon
IL	1942	Robert	Mary
IN	1942	James	Mary
KS	1942	Larry	Mary
KY	1942	James	Mary
LA	1942	James	Mary
MA	1942	Robert	Mary
MD	1942	Robert	Mary
ME	1942	Robert	Mary
MI	1942	Robert	Mary
MN	1942	James	Mary
MO	1942	James	Mary
MS	1942	James	Mary
MT	1942	Robert	Mary
NC	1942	James	Mary
ND	1942	James	Mary
NE	1942	Robert	Mary
NH	1942	Robert	Sandra
NJ	1942	Robert	Barbara
NM	1942	Robert	Mary
NV	1942	Robert	Mary
NY	1942	Robert	Barbara
OH	1942	James	Mary
OK	1942	James	Mary
OR	1942	Robert	Mary
PA	1942	John	Mary
RI	1942	Robert	Barbara
SC	1942	James	Mary
SD	1942	Robert	Mary
TN	1942	James	Mary
TX	1942	James	Mary
UT	1942	David	Linda
VA	1942	James	Mary
VT	1942	Robert	Mary
WA	1942	Robert	Sharon
WI	1942	James	Mary
WV	1942	James	Mary
WY	1942	John	Mary
AK	1943	John	Mary
AL	1943	James	Mary
AR	1943	James	Mary
AZ	1943	Robert	Mary
CA	1943	Robert	Mary
CO	1943	James	Mary
CT	1943	Robert	Patricia
DE	1943	William	Mary
FL	1943	James	Mary
GA	1943	James	Mary
HI	1943	Robert	Patricia
IA	1943	Robert	Mary
ID	1943	Robert	Linda
IL	1943	Robert	Mary
IN	1943	James	Mary
KS	1943	Robert	Mary
KY	1943	James	Mary
LA	1943	James	Mary
MA	1943	Robert	Mary
MD	1943	James	Mary
ME	1943	Robert	Linda
MI	1943	Robert	Mary
MN	1943	James	Mary
MO	1943	James	Mary
MS	1943	James	Mary
MT	1943	Robert	Mary
NC	1943	James	Mary
ND	1943	James	Sharon
NE	1943	Robert	Mary
NH	1943	Robert	Patricia
NJ	1943	Robert	Barbara
NM	1943	Robert	Mary
NV	1943	James	Sharon
NY	1943	Robert	Barbara
OH	1943	James	Mary
OK	1943	James	Mary
OR	1943	Robert	Linda
PA	1943	John	Mary
RI	1943	Robert	Carol
SC	1943	James	Mary
SD	1943	Robert	Mary
TN	1943	James	Mary
TX	1943	James	Mary
UT	1943	Robert	Linda
VA	1943	James	Mary
VT	1943	Robert	Mary
WA	1943	Robert	Linda
WI	1943	James	Mary
WV	1943	James	Mary
WY	1943	John	Mary
AK	1944	Robert	Mary
AL	1944	James	Mary
AR	1944	James	Mary
AZ	1944	Robert	Mary
CA	1944	Robert	Linda
CO	1944	Robert	Mary
CT	1944	Robert	Patricia
DE	1944	William	Mary
FL	1944	James	Mary
GA	1944	James	Mary
HI	1944	Robert	Patricia
IA	1944	Robert	Mary
ID	1944	John	Linda
IL	1944	Robert	Mary
IN	1944	James	Mary
KS	1944	Robert	Mary
KY	1944	James	Mary
LA	1944	James	Mary
MA	1944	Robert	Mary
MD	1944	James	Mary
ME	1944	Robert	Linda
MI	1944	Robert	Mary
MN	1944	James	Mary
MO	1944	James	Mary
MS	1944	James	Mary
MT	1944	Robert	Mary
NC	1944	James	Mary
ND	1944	James	Mary
NE	1944	Robert	Mary
NH	1944	Richard	Sandra
NJ	1944	Robert	Barbara
NM	1944	Robert	Mary
NV	1944	Robert	Linda
NY	1944	Robert	Mary
OH	1944	James	Mary
OK	1944	James	Linda
OR	1944	Robert	Linda
PA	1944	John	Mary
RI	1944	Robert	Carol
SC	1944	James	Mary
SD	1944	James	Mary
TN	1944	James	Mary
TX	1944	James	Mary
UT	1944	Robert	Linda
VA	1944	James	Mary
VT	1944	Robert	Linda
WA	1944	Robert	Linda
WI	1944	James	Mary
WV	1944	James	Mary
WY	1944	Robert	Mary
AK	1945	Robert	Mary
AL	1945	James	Mary
AR	1945	James	Mary
AZ	1945	Robert	Mary
CA	1945	Robert	Linda
CO	1945	Robert	Mary
CT	1945	Robert	Patricia
DE	1945	Robert	Mary
FL	1945	James	Mary
GA	1945	James	Mary
HI	1945	Robert	Carol
IA	1945	James	Mary
ID	1945	Robert	Linda
IL	1945	Robert	Mary
IN	1945	James	Mary
KS	1945	Robert	Mary
KY	1945	James	Mary
LA	1945	James	Mary
MA	1945	Robert	Mary
MD	1945	John	Mary
ME	1945	Robert	Linda
MI	1945	Robert	Mary
MN	1945	James	Mary
MO	1945	James	Mary
MS	1945	James	Mary
MT	1945	James	Linda
NC	1945	James	Mary
ND	1945	James	Mary
NE	1945	Robert	Mary
NH	1945	Robert	Linda
NJ	1945	Robert	Barbara
NM	1945	Robert	Mary
NV	1945	Robert	Mary
NY	1945	Robert	Barbara
OH	1945	James	Mary
OK	1945	James	Linda
OR	1945	John	Linda
PA	1945	John	Mary
RI	1945	Robert	Carol
SC	1945	James	Mary
SD	1945	James	Mary
TN	1945	James	Mary
TX	1945	James	Mary
UT	1945	Robert	Linda
VA	1945	James	Mary
VT	1945	Robert	Linda
WA	1945	Robert	Linda
WI	1945	James	Mary
WV	1945	James	Mary
WY	1945	Robert	Mary
AK	1946	John	Mary
AL	1946	James	Mary
AR	1946	James	Mary
AZ	1946	Robert	Mary
CA	1946	Robert	Linda
CO	1946	Robert	Mary
CT	1946	Robert	Patricia
DE	1946	John	Barbara
FL	1946	James	Mary
GA	1946	James	Mary
HI	1946	Robert	Patricia
IA	1946	James	Mary
ID	1946	Robert	Linda
IL	1946	Robert	Mary
IN	1946	James	Mary
KS	1946	Robert	Linda
KY	1946	James	Mary
LA	1946	James	Mary
MA	1946	Robert	Mary
MD	1946	John	Mary
ME	1946	Robert	Linda
MI	1946	Robert	Mary
MN	1946	James	Mary
MO	1946	James	Mary
MS	1946	James	Mary
MT	1946	James	Mary
NC	1946	James	Mary
ND	1946	James	Mary
NE	1946	Robert	Mary
NH	1946	Robert	Linda
NJ	1946	Robert	Patricia
NM	1946	Robert	Mary
NV	1946	Robert	Mary
NY	1946	Robert	Barbara
OH	1946	James	Mary
OK	1946	James	Linda
OR	1946	Robert	Linda
PA	1946	John	Mary
RI	1946	Robert	Patricia
SC	1946	James	Mary
SD	1946	Robert	Mary
TN	1946	James	Mary
TX	1946	James	Mary
UT	1946	Robert	Linda
VA	1946	James	Mary
VT	1946	Robert	Patricia
WA	1946	Robert	Linda
WI	1946	James	Mary
WV	1946	James	Linda
WY	1946	James	Mary
AK	1947	John	Mary
AL	1947	James	Mary
AR	1947	James	Linda
AZ	1947	Robert	Linda
CA	1947	Robert	Linda
CO	1947	Robert	Linda
CT	1947	Robert	Linda
DE	1947	William	Linda
FL	1947	James	Linda
GA	1947	James	Mary
HI	1947	Robert	Linda
IA	1947	James	Linda
ID	1947	Robert	Linda
IL	1947	James	Linda
IN	1947	James	Linda
KS	1947	Robert	Linda
KY	1947	James	Linda
LA	1947	James	Linda
MA	1947	Robert	Linda
MD	1947	John	Linda
ME	1947	Robert	Linda
MI	1947	Robert	Linda
MN	1947	James	Linda
MO	1947	James	Linda
MS	1947	James	Mary
MT	1947	John	Linda
NC	1947	James	Linda
ND	1947	James	Linda
NE	1947	Robert	Linda
NH	1947	Robert	Linda
NJ	1947	Robert	Linda
NM	1947	Robert	Mary
NV	1947	Robert	Linda
NY	1947	Robert	Linda
OH	1947	Robert	Linda
OK	1947	James	Linda
OR	1947	Robert	Linda
PA	1947	John	Linda
RI	1947	Robert	Linda
SC	1947	James	Mary
SD	1947	Robert	Linda
TN	1947	James	Linda
TX	1947	James	Linda
UT	1947	David	Linda
VA	1947	James	Linda
VT	1947	Robert	Linda
WA	1947	Robert	Linda
WI	1947	James	Mary
WV	1947	James	Linda
WY	1947	Robert	Linda
AK	1948	John	Mary
AL	1948	James	Mary
AR	1948	James	Linda
AZ	1948	Robert	Linda
CA	1948	Robert	Linda
CO	1948	Robert	Linda
CT	1948	Robert	Linda
DE	1948	James	Linda
FL	1948	James	Linda
GA	1948	James	Mary
HI	1948	Michael	Linda
IA	1948	James	Linda
ID	1948	Robert	Linda
IL	1948	Robert	Linda
IN	1948	James	Linda
KS	1948	Robert	Linda
KY	1948	James	Linda
LA	1948	James	Linda
MA	1948	Robert	Linda
MD	1948	John	Linda
ME	1948	Robert	Linda
MI	1948	Robert	Linda
MN	1948	James	Linda
MO	1948	James	Linda
MS	1948	James	Mary
MT	1948	Robert	Linda
NC	1948	James	Linda
ND	1948	James	Linda
NE	1948	James	Linda
NH	1948	Robert	Linda
NJ	1948	Robert	Linda
NM	1948	Robert	Mary
NV	1948	Robert	Linda
NY	1948	Robert	Linda
OH	1948	James	Linda
OK	1948	James	Linda
OR	1948	John	Linda
PA	1948	John	Linda
RI	1948	Robert	Linda
SC	1948	James	Mary
SD	1948	Robert	Linda
TN	1948	James	Linda
TX	1948	James	Linda
UT	1948	Robert	Linda
VA	1948	James	Linda
VT	1948	Robert	Linda
WA	1948	Robert	Linda
WI	1948	James	Mary
WV	1948	James	Linda
WY	1948	John	Linda
AK	1949	John	Mary
AL	1949	James	Mary
AR	1949	James	Linda
AZ	1949	John	Linda
CA	1949	Robert	Linda
CO	1949	John	Linda
CT	1949	Robert	Linda
DE	1949	John	Linda
FL	1949	James	Linda
GA	1949	James	Mary
HI	1949	Michael	Linda
IA	1949	James	Linda
ID	1949	Robert	Linda
IL	1949	Robert	Linda
IN	1949	James	Linda
KS	1949	Robert	Linda
KY	1949	James	Linda
LA	1949	James	Mary
MA	1949	Robert	Linda
MD	1949	John	Linda
ME	1949	Robert	Linda
MI	1949	Robert	Linda
MN	1949	James	Linda
MO	1949	James	Linda
MS	1949	James	Mary
MT	1949	Robert	Linda
NC	1949	James	Linda
ND	1949	David	Linda
NE	1949	James	Linda
NH	1949	Robert	Linda
NJ	1949	Robert	Linda
NM	1949	Robert	Mary
NV	1949	Robert	Linda
NY	1949	Robert	Linda
OH	1949	James	Linda
OK	1949	James	Linda
OR	1949	David	Linda
PA	1949	John	Linda
RI	1949	Robert	Linda
SC	1949	James	Mary
SD	1949	David	Linda
TN	1949	James	Linda
TX	1949	James	Linda
UT	1949	Robert	Linda
VA	1949	James	Linda
VT	1949	Robert	Linda
WA	1949	Robert	Linda
WI	1949	James	Linda
WV	1949	James	Linda
WY	1949	Robert	Linda
AK	1950	Robert	Mary
AL	1950	James	Mary
AR	1950	James	Linda
AZ	1950	Robert	Mary
CA	1950	Robert	Linda
CO	1950	Robert	Linda
CT	1950	Robert	Linda
DE	1950	William	Linda
FL	1950	James	Linda
GA	1950	James	Mary
HI	1950	Michael	Linda
IA	1950	David	Linda
ID	1950	Robert	Linda
IL	1950	James	Linda
IN	1950	Michael	Linda
KS	1950	Robert	Linda
KY	1950	James	Linda
LA	1950	James	Mary
MA	1950	Robert	Linda
MD	1950	John	Linda
ME	1950	Robert	Linda
MI	1950	Robert	Linda
MN	1950	Michael	Mary
MO	1950	James	Linda
MS	1950	James	Mary
MT	1950	Robert	Linda
NC	1950	James	Linda
ND	1950	David	Linda
NE	1950	Robert	Linda
NH	1950	Robert	Linda
NJ	1950	Robert	Linda
NM	1950	Robert	Mary
NV	1950	John	Linda
NY	1950	Robert	Linda
OH	1950	James	Linda
OK	1950	James	Linda
OR	1950	Robert	Linda
PA	1950	John	Linda
RI	1950	Robert	Linda
SC	1950	James	Mary
SD	1950	David	Linda
TN	1950	James	Linda
TX	1950	James	Linda
UT	1950	David	Susan
VA	1950	James	Linda
VT	1950	David	Linda
WA	1950	Michael	Linda
WI	1950	James	Mary
WV	1950	James	Linda
WY	1950	John	Linda
AK	1951	Robert	Linda
AL	1951	James	Mary
AR	1951	James	Linda
AZ	1951	Robert	Mary
CA	1951	Michael	Linda
CO	1951	Robert	Linda
CT	1951	Robert	Linda
DE	1951	John	Linda
FL	1951	James	Linda
GA	1951	James	Mary
HI	1951	Michael	Linda
IA	1951	Michael	Mary
ID	1951	Michael	Linda
IL	1951	Robert	Linda
IN	1951	Michael	Linda
KS	1951	Michael	Linda
KY	1951	James	Linda
LA	1951	James	Mary
MA	1951	Robert	Linda
MD	1951	Robert	Linda
ME	1951	Michael	Linda
MI	1951	Robert	Linda
MN	1951	James	Mary
MO	1951	James	Linda
MS	1951	James	Mary
MT	1951	James	Linda
NC	1951	James	Linda
ND	1951	David	Linda
NE	1951	Michael	Linda
NH	1951	Robert	Linda
NJ	1951	Robert	Patricia
NM	1951	Robert	Mary
NV	1951	John	Linda
NY	1951	Robert	Patricia
OH	1951	Robert	Linda
OK	1951	James	Linda
OR	1951	David	Linda
PA	1951	John	Linda
RI	1951	Robert	Linda
SC	1951	James	Mary
SD	1951	David	Linda
TN	1951	James	Linda
TX	1951	James	Mary
UT	1951	David	Linda
VA	1951	James	Linda
VT	1951	Robert	Linda
WA	1951	Michael	Linda
WI	1951	Michael	Mary
WV	1951	James	Linda
WY	1951	Robert	Linda
AK	1952	James	Linda
AL	1952	James	Mary
AR	1952	James	Linda
AZ	1952	Robert	Mary
CA	1952	Michael	Linda
CO	1952	Robert	Linda
CT	1952	Robert	Linda
DE	1952	William	Linda
FL	1952	James	Linda
GA	1952	James	Mary
HI	1952	Michael	Linda
IA	1952	Michael	Mary
ID	1952	Michael	Linda
IL	1952	Michael	Mary
IN	1952	Michael	Linda
KS	1952	Michael	Linda
KY	1952	James	Linda
LA	1952	James	Mary
MA	1952	Robert	Susan
MD	1952	Robert	Mary
ME	1952	David	Linda
MI	1952	Michael	Linda
MN	1952	Michael	Mary
MO	1952	James	Linda
MS	1952	James	Mary
MT	1952	Robert	Linda
NC	1952	James	Linda
ND	1952	David	Linda
NE	1952	Michael	Mary
NH	1952	David	Linda
NJ	1952	Robert	Patricia
NM	1952	Robert	Mary
NV	1952	John	Linda
NY	1952	Robert	Patricia
OH	1952	James	Linda
OK	1952	James	Linda
OR	1952	David	Linda
PA	1952	John	Linda
RI	1952	Robert	Linda
SC	1952	James	Mary
SD	1952	David	Linda
TN	1952	James	Linda
TX	1952	James	Mary
UT	1952	David	Susan
VA	1952	James	Linda
VT	1952	Michael	Linda
WA	1952	Michael	Linda
WI	1952	Michael	Mary
WV	1952	James	Linda
WY	1952	John	Linda
AK	1953	David	Linda
